yPos,xPos,race,lat,lon,age
1337,1338,Black,38.86591,-77.05468,71
1498,1100,Black,38.8501975057482,-77.0657392070701,66
989,1407,Black,38.899755192679,-77.0514953538337,73
420,1038,Black,38.95515,-77.06867,66
1352,1163,Black,38.86442,-77.06282,62
1422,1166,Black,38.8576234388264,-77.0626709114315,64
1485,1235,Black,38.85149,-77.05947,61
990,1140,Black,38.8996293779063,-77.0639214556791,68
950,1551,Black,38.90357,-77.0448,65
1588,1084,Black,38.8414672214878,-77.0665041880429,75
1556,1073,Black,38.84455,-77.067,69
1738,983,Black,38.82691,-77.07123,69
1160,1279,Black,38.88307,-77.05742,63
977,1176,Black,38.90096,-77.06221,66
1500,1214,Black,38.8499854242996,-77.0604624425431,70
965,1550,Black,38.90211,-77.04482,65
219,746,Black,38.97465,-77.08223,50
1136,1061,Black,38.88547,-77.06757,48
1359,1335,Black,38.8637766440922,-77.0548071061889,64
1041,1470,Black,38.8946807800872,-77.0485288998619,58
1154,1347,Black,38.88367,-77.05429,72
1424,1234,Black,38.85746,-77.05955,63
1521,1137,Black,38.84803,-77.06405,65
819,955,Black,38.91624,-77.07251,63
474,706,Black,38.94985,-77.08407,60
1021,1095,Black,38.89659,-77.066,62
939,1131,Black,38.90465,-77.06431,63
1424,1227,Black,38.85746,-77.05984,66
403,840,Black,38.95672,-77.07787,52
1307,1075,Black,38.86882,-77.06692,71
408,690,Black,38.95631,-77.08483,56
958,1165,Black,38.9027190011641,-77.0627483478181,69
975,983,Black,38.90109,-77.0712,25
399,705,Black,38.95717,-77.08414,61
1159,1496,Black,38.8831561360408,-77.0473425780736,55
116,740,Black,38.98466,-77.0825,65
1352,1258,Black,38.8644425655985,-77.0584272549985,53
1227,1211,Black,38.87654,-77.06059,61
1235,796,Black,38.87584,-77.07988,74
1178,846,Black,38.8814,-77.07756,66
741,975,Black,38.92384,-77.07159,62
1106,1360,Black,38.88837,-77.05367,72
1658,921,Black,38.83465,-77.07407,61
959,1470,Black,38.90264,-77.04855,70
1226,837,Black,38.87667,-77.078,72
816,836,Black,38.91662,-77.07804,74
1137,1131,Black,38.88531,-77.06432,82
782,322,Black,38.91987,-77.10196,61
1182,1436,Black,38.88095,-77.05015,65
1264,1137,Black,38.87295,-77.06403,63
1504,1087,Black,38.8496456441927,-77.0663482026804,66
1147,1324,Black,38.88439,-77.05534,66
490,731,Black,38.94826,-77.08294,66
1517,1067,Black,38.84833,-77.06729,62
1519,910,Black,38.84814,-77.07462,55
1535,963,Black,38.84665,-77.07212,71
1270,822,Black,38.8724023333661,-77.0786912810416,72
1174,1495,Black,38.88177,-77.04739,65
590,656,Black,38.93859,-77.0864,61
1093,1320,Black,38.8896577612098,-77.0555278272039,66
907,1082,Black,38.90776,-77.06659,42
514,901,Black,38.94596,-77.075,49
560,830,Black,38.94145,-77.07831,62
1723,929,Black,38.82837,-77.07372,78
763,1371,Black,38.92172,-77.05318,43
1461,1052,Black,38.85384,-77.06797,68
1026,1111,Black,38.89616,-77.06524,58
705,809,Black,38.9274142374391,-77.0792854826383,56
1229,1504,Black,38.87643,-77.04699,61
1391,946,Black,38.86064,-77.07294,60
630,1111,Black,38.93464,-77.06523,70
1209,1021,Black,38.87837,-77.06944,68
341,760,Black,38.96282,-77.08156,68
708,1118,Black,38.92712,-77.06491,66
1242,845,Black,38.87511,-77.0776,60
1411,1036,Black,38.85873,-77.06876,72
912,1499,Black,38.90722,-77.04721,73
1157,1372,Black,38.88344,-77.0531,56
1337,1107,Black,38.86592,-77.06545,72
924,1111,Black,38.9060632958688,-77.0652370192685,54
1568,1060,Black,38.84343035016,-77.0676314443799,60
956,986,Black,38.90296,-77.07105,65
568,821,Black,38.9407,-77.07873,55
728,692,Black,38.92513,-77.08477,67
1026,1147,Black,38.8961048509854,-77.0635581451328,76
1663,1027,Black,38.83419,-77.06918,61
1212,1058,Black,38.87805,-77.06774,43
525,904,Black,38.9448958044279,-77.0748578397583,56
834,787,Black,38.91482,-77.08032,56
1528,1091,Black,38.8473,-77.06619,68
1520,1207,Black,38.84811,-77.06077,49
1554,964,Black,38.8448,-77.0721,67
1173,1495,Black,38.88186,-77.0474,66
1284,845,Black,38.87101,-77.07762,60
315,779,Black,38.96531,-77.08071,73
1020,1043,Black,38.8967687533319,-77.0683995078986,65
1229,1451,Black,38.8763519246801,-77.0494479377109,71
1762,933,Black,38.82457,-77.07353,45
655,1214,Black,38.9322734813255,-77.0604641897335,67
653,1229,Black,38.93243,-77.05975,55
937,1160,Black,38.904823789886,-77.0629653012616,70
1176,1043,Black,38.88159,-77.06839,72
1428,1017,Black,38.85698,-77.0696,58
1070,1581,Black,38.8919,-77.0434,64
1664,1012,Black,38.83403,-77.06986,72
1289,1146,Black,38.8705666889846,-77.0636405767618,75
1381,1300,Black,38.86161,-77.05644,76
487,964,Black,38.94862,-77.07211,61
1808,880,Black,38.82002,-77.07602,64
1415,1049,Black,38.85832,-77.06812,67
1205,782,Black,38.87874,-77.08054,64
1209,1503,Black,38.87835,-77.047,63
1315,1130,Black,38.86805,-77.06435,73
693,1166,Black,38.92859,-77.06271,67
766,1093,Black,38.9214515262044,-77.0660774634324,64
622,789,Black,38.93546,-77.08023,70
1379,1299,Black,38.86178,-77.05648,46
899,1079,Black,38.90846,-77.06672,72
1128,1480,Black,38.88622,-77.04808,67
723,841,Black,38.9256094530258,-77.0778339754531,70
973,817,Black,38.9013,-77.07894,63
1709,971,Black,38.82969,-77.07179,43
1026,1523,Black,38.89613,-77.04608,72
918,1040,Black,38.90667,-77.06855,77
945,955,Black,38.90401,-77.07251,70
1244,842,Black,38.87493,-77.07776,42
1153,1350,Black,38.88381,-77.05413,62
1318,1119,Black,38.8677730923192,-77.0648782753489,68
1584,1063,Black,38.8418708107718,-77.0674613211516,69
186,757,Black,38.97786,-77.08173,71
1558,1163,Black,38.8444149538563,-77.0628293466754,89
365,973,Black,38.96048,-77.07166,69
1410,1064,Black,38.85877,-77.06745,67
1258,1274,Black,38.87359,-77.05769,65
1409,1175,Black,38.85883,-77.06227,64
1219,1496,Black,38.87733,-77.04735,69
492,780,Black,38.94813,-77.08065,65
1595,951,Black,38.84074,-77.07271,60
796,870,Black,38.91848,-77.07644,68
1423,1039,Black,38.85752,-77.0686,55
952,1489,Black,38.90331,-77.04767,71
996,1166,Black,38.89905,-77.0627,63
1756,881,Black,38.8251050891771,-77.0759547542743,73
960,1137,Black,38.90252,-77.06406,75
1724,997,Black,38.82825,-77.07056,60
500,1031,Black,38.9472926737745,-77.0689708309088,74
974,1366,Black,38.90123,-77.05339,73
1544,1169,Black,38.84578,-77.06257,60
1012,1103,Black,38.8975,-77.0656,61
857,835,Black,38.9126,-77.0781,70
1531,1133,Black,38.84705,-77.06422,55
1742,945,Black,38.82644,-77.07295,62
1450,1056,Black,38.85492,-77.0678,63
1549,940,Black,38.84529,-77.07322,77
1658,1049,Black,38.83465,-77.06812,72
1806,887,Black,38.820211965923,-77.075664507394,65
879,1452,Black,38.91047,-77.04939,84
244,752,Black,38.97225,-77.08194,71
503,757,Black,38.947034018706,-77.0817363978103,46
1727,869,Black,38.82797,-77.07651,51
1464,1065,Black,38.85351,-77.06737,69
934,1156,Black,38.90511,-77.06314,67
1878,833,Black,38.81321,-77.0782,48
332,771,Black,38.96363,-77.08107,55
989,1408,Black,38.89979,-77.05142,62
1095,1445,Black,38.8894,-77.04969,70
933,1083,Black,38.90521,-77.06655,57
1358,1269,Black,38.8638093898838,-77.0578897551388,65
1324,1069,Black,38.8671980482867,-77.0672045133669,60
1354,1209,Black,38.8642064799315,-77.0607114610518,62
1779,868,Black,38.8228419864865,-77.07654631556,55
1231,851,Black,38.8762450728331,-77.0773354266405,48
239,746,Black,38.97273,-77.08221,66
1578,933,Black,38.84247,-77.07351,55
969,1129,Black,38.90169,-77.06443,65
1291,1389,Black,38.87039,-77.05231,62
606,664,Black,38.937,-77.08604,59
1144,1391,Black,38.88465,-77.05224,67
410,990,Black,38.9560548302921,-77.0708708934855,70
132,744,Black,38.98314,-77.08231,85
345,929,Black,38.96238,-77.0737,70
1202,838,Black,38.87902,-77.07793,63
927,1037,Black,38.90576,-77.06867,58
1713,996,Black,38.8292935199081,-77.0705857981251,30
1427,1154,Black,38.85718,-77.06325,60
1714,996,Black,38.82923,-77.0706,67
1152,1534,Black,38.88384,-77.04559,67
990,1005,Black,38.89967,-77.07018,83
1083,1438,Black,38.89055,-77.05001,32
1345,1343,Black,38.8651,-77.05444,70
1008,1167,Black,38.89789,-77.06263,67
1220,1217,Black,38.87724,-77.0603,50
1561,1066,Black,38.8440831673295,-77.0673259832207,69
1595,997,Black,38.84077,-77.07058,71
759,849,Black,38.92215,-77.07742,73
773,874,Black,38.9207994422485,-77.0762713125554,64
1197,1532,Black,38.87949,-77.04568,63
822,1177,Black,38.91595,-77.06217,30
1710,961,Black,38.82963,-77.07225,36
422,763,Black,38.95487,-77.08146,58
446,843,Black,38.9526088906092,-77.0777013144153,62
280,722,Black,38.96874,-77.08335,69
798,813,Black,38.9183,-77.0791,67
936,1054,Black,38.9048556580893,-77.0679078920033,64
1557,1046,Black,38.84443,-77.06829,69
1602,1000,Black,38.8400785498481,-77.070420914306,69
1691,996,Black,38.83142,-77.07061,58
68,679,Black,38.98938,-77.08533,49
1008,1163,Black,38.89791,-77.06285,62
1725,885,Black,38.82813,-77.07576,68
1161,1282,Black,38.88305,-77.0573,65
536,741,Black,38.9437988270598,-77.0824662550602,66
1403,1258,Black,38.8594709787246,-77.0584294723221,64
579,366,Black,38.9396,-77.09993,61
545,800,Black,38.94289,-77.0797,61
1250,854,Black,38.87433,-77.07722,35
1223,813,Black,38.87698,-77.07911,68
1508,1121,Black,38.84921,-77.06478,85
648,1016,Black,38.9329288769298,-77.0696879069232,81
1681,1024,Black,38.83246,-77.06932,70
491,826,Black,38.9481508536402,-77.0785069675876,70
492,990,Black,38.94808,-77.07088,66
1242,1258,Black,38.87517,-77.05842,75
939,1069,Black,38.9046,-77.06723,70
850,1075,Black,38.91323,-77.06692,75
463,736,Black,38.95096,-77.08269,53
324,931,Black,38.96443,-77.07363,54
601,791,Black,38.93749,-77.08015,59
833,876,Black,38.91496,-77.07619,52
1289,1111,Black,38.87051,-77.06525,68
1824,848,Black,38.8185086382714,-77.0774829489078,68
1675,909,Black,38.83297,-77.07465,66
1260,858,Black,38.8734,-77.07701,67
1725,998,Black,38.82815,-77.07053,59
716,709,Black,38.9262832504298,-77.0839530689113,67
1353,1164,Black,38.86438,-77.06278,70
1306,1365,Black,38.86886,-77.05341,68
417,673,Black,38.9553666668112,-77.0856121144958,52
1044,1554,Black,38.8943878019907,-77.0446318204921,61
1210,1431,Black,38.8782,-77.05038,62
1145,1168,Black,38.88459,-77.06258,46
922,1352,Black,38.9063,-77.05404,53
265,855,Black,38.9701533852582,-77.0771385077701,69
1264,1461,Black,38.87299,-77.04897,67
487,769,Black,38.94854,-77.08114,67
1086,1336,Black,38.89028,-77.05479,72
1131,1117,Black,38.8859169864259,-77.0649789802379,71
1489,1159,Black,38.85112,-77.06302,66
756,1132,Black,38.92238,-77.06426,61
1188,1450,Black,38.88041,-77.04947,44
701,1278,Black,38.9277662794332,-77.0574762866379,64
1121,1566,Black,38.88688,-77.04407,62
1138,1463,Black,38.88527,-77.04889,74
1086,1583,Black,38.89032,-77.04329,63
641,1201,Black,38.93362,-77.06105,71
774,917,Black,38.92064,-77.07428,73
1777,881,Black,38.82305,-77.07594,78
941,1070,Black,38.90446,-77.06718,63
543,1139,Black,38.94312,-77.06395,63
1190,901,Black,38.88017,-77.07501,61
1183,1407,Black,38.88085,-77.05146,68
991,1401,Black,38.89955,-77.05174,67
743,671,Black,38.9237,-77.08573,50
1700,962,Black,38.83061,-77.07217,61
824,884,Black,38.91576,-77.07581,67
1395,1031,Black,38.8602,-77.06898,67
1070,1404,Black,38.89191,-77.05161,61
968,1129,Black,38.90179,-77.06439,41
1555,982,Black,38.84471,-77.07125,64
589,744,Black,38.93865,-77.08234,64
531,847,Black,38.94426,-77.07751,69
635,1127,Black,38.93423,-77.06452,28
562,745,Black,38.94129,-77.08229,63
991,1497,Black,38.8995,-77.04727,52
1248,849,Black,38.87456,-77.07746,68
1095,1627,Black,38.8894633608236,-77.0412225645216,61
719,675,Black,38.92604,-77.08552,60
399,1011,Black,38.9571196431552,-77.0699173709695,52
315,683,Black,38.9653158272933,-77.0851680585339,71
1329,1159,Black,38.86669,-77.06302,79
1820,884,Black,38.81887,-77.07582,66
1455,1115,Black,38.854398271077,-77.0650602332585,64
325,713,Black,38.96433,-77.08378,27
388,314,Black,38.95823,-77.10232,61
1288,1391,Black,38.87062,-77.05224,65
527,833,Black,38.94471,-77.07817,70
554,625,Black,38.9421,-77.08787,52
1685,903,Black,38.83203,-77.07492,69
876,1449,Black,38.91071,-77.04953,67
413,898,Black,38.95581,-77.07517,63
497,959,Black,38.9476,-77.0723,76
786,838,Black,38.91951,-77.07793,66
461,762,Black,38.95109,-77.08147,59
455,830,Black,38.9516988806787,-77.0783167951087,69
1206,1246,Black,38.8786538828268,-77.0589881150384,65
366,709,Black,38.96034,-77.08397,66
447,776,Black,38.95248,-77.08083,74
1760,893,Black,38.82469,-77.0754,62
498,762,Black,38.94756,-77.08147,48
1808,881,Black,38.82006,-77.07596,59
395,722,Black,38.95755,-77.08336,68
1136,1522,Black,38.88543,-77.04614,63
796,864,Black,38.9185,-77.07676,53
1675,1045,Black,38.8329918671421,-77.0683431953666,66
1430,1006,Black,38.8568,-77.07012,67
504,893,Black,38.94692,-77.07541,63
942,1040,Black,38.90436,-77.06853,56
706,810,Black,38.92728,-77.07927,69
676,804,Black,38.93016,-77.07953,51
85,640,Black,38.9877,-77.08715,65
742,687,Black,38.92378,-77.08496,26
1916,810,Black,38.80951,-77.07924,58
924,1514,Black,38.90608,-77.04651,58
1319,1364,Black,38.86764,-77.0535,49
1027,1511,Black,38.89601,-77.04665,65
1668,916,Black,38.83365,-77.07431,64
1193,1439,Black,38.87993,-77.04998,65
366,950,Black,38.96036,-77.07272,61
1605,945,Black,38.8397957631279,-77.072953733485,74
829,905,Black,38.91534,-77.07483,63
1357,1158,Black,38.86393,-77.06306,62
939,1071,Black,38.90457,-77.0671,57
1321,1193,Black,38.8674155706559,-77.0614165778399,66
1687,1014,Black,38.83184,-77.06975,56
411,759,Black,38.95599,-77.08162,66
1731,973,Black,38.82759,-77.07167,52
643,746,Black,38.93337,-77.08222,73
926,1081,Black,38.90585,-77.06667,65
1389,1182,Black,38.86085,-77.06197,70
1395,1337,Black,38.86021,-77.05472,63
1404,1169,Black,38.859410040282,-77.062535381808,74
1012,1618,Black,38.89746,-77.04167,71
1196,1144,Black,38.87961,-77.06372,63
822,939,Black,38.91597,-77.07325,61
1161,1282,Black,38.88299,-77.05729,43
675,1117,Black,38.9303278803974,-77.0649899753338,45
1127,1111,Black,38.88636,-77.06525,66
1169,1493,Black,38.88224,-77.04746,77
1156,1453,Black,38.88351,-77.04936,67
1540,1128,Black,38.84612,-77.06447,58
1119,1333,Black,38.88711,-77.05491,75
82,701,Black,38.98794,-77.08434,70
506,999,Black,38.94676,-77.07044,64
1195,968,Black,38.8797283127421,-77.07191311722,73
1124,1589,Black,38.88663,-77.04301,66
613,707,Black,38.9363113918225,-77.084065520045,62
1241,1227,Black,38.87527,-77.05985,38
1384,1214,Black,38.86131,-77.06048,70
1786,891,Black,38.82223,-77.07549,30
914,948,Black,38.90708,-77.07285,67
1269,860,Black,38.87251,-77.07691,53
330,799,Black,38.96389,-77.07976,64
986,1151,Black,38.90004,-77.0634,59
1065,1266,Black,38.89232,-77.05805,62
923,1341,Black,38.90615,-77.05456,70
1603,972,Black,38.83999,-77.07171,68
701,1098,Black,38.92774,-77.06584,72
843,1421,Black,38.91392,-77.05081,68
1393,1064,Black,38.86041,-77.06742,34
1258,834,Black,38.87359,-77.07814,66
1648,1004,Black,38.83567,-77.07021,71
1458,1181,Black,38.85413,-77.06201,55
922,795,Black,38.90624,-77.07995,64
1705,931,Black,38.83012,-77.07364,73
402,750,Black,38.9568130647905,-77.0820536295855,68
479,1012,Black,38.94936,-77.06986,55
870,834,Black,38.9113247420503,-77.0781263591887,64
705,695,Black,38.92737,-77.08461,35
783,945,Black,38.9198,-77.07297,78
1650,1002,Black,38.83544,-77.07032,64
1042,1609,Black,38.8945435027076,-77.0420969156311,73
1271,1222,Black,38.87234,-77.06009,43
1102,1332,Black,38.88877,-77.05495,63
1151,1294,Black,38.88395,-77.05672,56
1787,891,Black,38.8220964967518,-77.0754671439063,68
1076,1429,Black,38.89129,-77.05045,63
981,1158,Black,38.90052,-77.06309,72
1718,899,Black,38.82886,-77.0751,71
678,751,Black,38.92997,-77.082,62
323,781,Black,38.96449,-77.0806,73
361,743,Black,38.9608414550487,-77.0823695180324,75
481,858,Black,38.94914,-77.07703,83
1039,1298,Black,38.89487,-77.05654,68
1094,1461,Black,38.8895,-77.04895,82
697,809,Black,38.92815,-77.0793,33
1267,1128,Black,38.87269,-77.06444,67
979,1539,Black,38.90069,-77.04535,62
1538,1195,Black,38.84635,-77.06134,70
1381,1322,Black,38.86163,-77.05544,63
1167,1413,Black,38.88241,-77.05119,39
992,1417,Black,38.89942,-77.051,54
910,1112,Black,38.90739,-77.06518,65
1159,1151,Black,38.88318,-77.06338,65
409,970,Black,38.95619,-77.0718,66
1114,1514,Black,38.8875826898009,-77.0465189591778,52
1597,939,Black,38.84062,-77.07327,71
1475,1201,Black,38.8524732851772,-77.0610592758706,68
926,1042,Black,38.9058489587335,-77.0684828356916,71
712,764,Black,38.9266618481972,-77.0813924523061,42
1327,1089,Black,38.86689,-77.06628,61
1584,1080,Black,38.84188,-77.06671,71
1607,974,Black,38.83961,-77.07164,57
1760,865,Black,38.82471,-77.07671,65
329,766,Black,38.96391,-77.08132,64
441,772,Black,38.95309,-77.08101,54
1269,1138,Black,38.87247,-77.06398,28
1717,893,Black,38.82893,-77.07541,64
1075,1304,Black,38.89136,-77.05629,66
1193,1157,Black,38.87991,-77.06311,66
1752,958,Black,38.82552,-77.07235,63
1372,1030,Black,38.8625185364104,-77.0690353918208,70
1150,1482,Black,38.88411,-77.04798,65
863,762,Black,38.91201,-77.08149,44
1286,1223,Black,38.87081,-77.06003,71
441,840,Black,38.95309,-77.07788,72
692,692,Black,38.9286825947146,-77.084761278728,76
1090,1454,Black,38.8899,-77.04929,70
414,962,Black,38.9556816766565,-77.0721867538347,63
941,1078,Black,38.9043853177287,-77.0667809141987,75
694,886,Black,38.92843,-77.07571,48
313,684,Black,38.96553,-77.08513,63
1080,1360,Black,38.89089,-77.05368,48
460,491,Black,38.95119,-77.0941,64
363,670,Black,38.96062,-77.08579,96
338,603,Black,38.96311,-77.08889,67
1215,1252,Black,38.87777,-77.05869,63
947,1034,Black,38.90388,-77.06883,67
452,873,Black,38.95203,-77.07634,62
456,740,Black,38.95158,-77.08253,74
1540,1157,Black,38.8461463006769,-77.0630991586457,76
729,1238,Black,38.9250704812568,-77.0593290820436,51
1421,1021,Black,38.8577399935708,-77.0694231644996,69
1358,1166,Black,38.8638,-77.06268,72
1299,1379,Black,38.8696,-77.05279,67
1476,1102,Black,38.85231,-77.06565,59
1036,1479,Black,38.89517,-77.04811,62
747,965,Black,38.9233,-77.07205,63
1388,962,Black,38.8609367177458,-77.0721986517056,67
482,967,Black,38.9490422731427,-77.071961484589,44
786,867,Black,38.91954,-77.07662,31
654,799,Black,38.93237,-77.07975,39
955,1370,Black,38.90307,-77.05318,74
1194,1135,Black,38.8798,-77.06414,56
762,1136,Black,38.92181,-77.06407,61
1123,1464,Black,38.88672,-77.04881,65
501,968,Black,38.94721,-77.07189,77
1468,1040,Black,38.85316,-77.06856,55
1228,1213,Black,38.87647,-77.06048,66
1604,1004,Black,38.8399193950008,-77.0702226844337,72
1087,1413,Black,38.89022,-77.05119,69
470,976,Black,38.95019,-77.07152,63
926,1327,Black,38.9058381746261,-77.0552224602007,63
1410,1023,Black,38.8587402719225,-77.0693525781366,57
1407,975,Black,38.85903,-77.07159,49
1403,1186,Black,38.85947,-77.06176,70
1313,1064,Black,38.86819,-77.06743,74
1362,1367,Black,38.86348,-77.05336,70
1256,1148,Black,38.87373,-77.06353,69
384,832,Black,38.95864,-77.07821,65
1465,1053,Black,38.8534407816465,-77.0679389147991,64
1421,1021,Black,38.85772,-77.06942,71
440,770,Black,38.95313,-77.08112,65
1748,964,Black,38.8259,-77.07208,73
1185,1493,Black,38.8807164816692,-77.0474860367749,51
422,811,Black,38.9549434088247,-77.0792034162448,61
937,1142,Black,38.90479,-77.06379,56
979,1433,Black,38.90069,-77.05028,67
912,778,Black,38.9072,-77.08074,88
1463,1182,Black,38.85362,-77.06195,75
1416,1264,Black,38.85823,-77.05813,39
1174,1424,Black,38.88177,-77.05067,69
1713,1002,Black,38.82929,-77.07034,66
978,1044,Black,38.90079,-77.06839,49
1741,898,Black,38.82657,-77.07514,70
1214,1413,Black,38.8778572753478,-77.0511804507096,75
479,740,Black,38.9493818508657,-77.0825136999437,71
1208,1503,Black,38.87844,-77.04702,70
1034,1418,Black,38.89537,-77.05097,47
991,1071,Black,38.8995073174037,-77.0671324201758,59
163,762,Black,38.9801446347833,-77.0814812485463,67
1308,1107,Black,38.86866,-77.06545,73
1097,1582,Black,38.8892160773722,-77.0433246254171,62
768,1220,Black,38.92123,-77.06017,61
472,650,Black,38.95005,-77.08669,58
1621,915,Black,38.83824,-77.07436,64
501,756,Black,38.94721,-77.08177,51
459,804,Black,38.95129,-77.07953,71
1692,941,Black,38.8313398485316,-77.0731507141131,71
920,856,Black,38.90645,-77.07711,67
1024,1487,Black,38.89637,-77.04778,65
869,834,Black,38.91143,-77.07816,61
84,640,Black,38.98782,-77.08718,65
486,1082,Black,38.94868,-77.06658,45
1656,973,Black,38.83486,-77.07168,65
1592,1033,Black,38.84111,-77.06887,67
1449,1124,Black,38.85501,-77.06465,52
802,894,Black,38.9179452204384,-77.0753413665412,62
481,816,Black,38.9491240843701,-77.0789840085467,65
1100,1318,Black,38.88893,-77.0556,70
865,1453,Black,38.91184,-77.04935,61
1191,1145,Black,38.88005,-77.06365,51
366,929,Black,38.96035,-77.0737,48
1185,1444,Black,38.88071,-77.04977,65
866,866,Black,38.91169,-77.07665,67
956,1123,Black,38.9029595979357,-77.064703141408,64
629,766,Black,38.93472,-77.08131,67
1190,1497,Black,38.88019,-77.0473,71
1236,863,Black,38.87575,-77.07678,55
469,970,Black,38.95031,-77.07179,23
192,671,Black,38.97727,-77.08572,84
1009,1473,Black,38.8978,-77.0484,73
588,799,Black,38.93876,-77.07977,78
1088,1512,Black,38.89012,-77.04658,77
450,988,Black,38.9522,-77.07097,53
1210,1067,Black,38.87828,-77.0673,72
180,746,Black,38.97842,-77.08223,70
714,891,Black,38.92651,-77.07551,68
926,1477,Black,38.90585,-77.04824,67
551,1026,Black,38.94233,-77.06923,66
1180,1401,Black,38.88117,-77.05177,51
1338,1043,Black,38.86577,-77.0684,64
710,1017,Black,38.92693,-77.06961,62
946,1140,Black,38.9039585198281,-77.0638791712442,67
974,1534,Black,38.9012,-77.04555,63
539,893,Black,38.94353,-77.07539,54
1195,1406,Black,38.87974,-77.05152,75
1716,957,Black,38.82903,-77.0724,81
1514,1172,Black,38.8487,-77.06243,59
1538,1095,Black,38.84638,-77.06601,78
421,760,Black,38.95502,-77.08156,72
335,952,Black,38.9633287774448,-77.072639646101,68
1428,981,Black,38.85703,-77.0713,69
786,920,Black,38.91945,-77.07415,58
612,751,Black,38.93644,-77.082,63
609,655,Black,38.93671,-77.08645,69
1535,1176,Black,38.84661,-77.06221,48
1594,940,Black,38.8409,-77.07319,57
1757,955,Black,38.825,-77.0725,60
1401,1062,Black,38.8597,-77.06751,63
796,853,Black,38.91855,-77.07724,66
1139,1407,Black,38.88516,-77.0515,62
746,952,Black,38.92341,-77.07266,63
1258,832,Black,38.87359,-77.07825,80
942,935,Black,38.90434,-77.07344,64
498,882,Black,38.94751,-77.07593,72
396,792,Black,38.95749,-77.08011,71
198,776,Black,38.97673,-77.08084,66
1155,1535,Black,38.88355,-77.0455,62
986,1154,Black,38.90008,-77.06324,55
1183,1498,Black,38.88088,-77.04723,66
650,778,Black,38.9326786844712,-77.0807569196177,69
1025,1159,Black,38.89627,-77.06302,63
923,1538,Black,38.90612,-77.04538,78
974,1563,Black,38.90125,-77.04423,59
819,836,Black,38.91628,-77.07805,64
954,1478,Black,38.90314,-77.04818,52
1103,1314,Black,38.8886093486939,-77.0557974864877,63
935,1142,Black,38.905029999999996,-77.06383,68
665,1006,Black,38.9312224345497,-77.0701414909595,70
1522,1132,Black,38.8478904088796,-77.0642654310955,62
919,1462,Black,38.90655,-77.04894,63
1140,1307,Black,38.88507,-77.05615,66
751,629,Black,38.92291,-77.08765,92
861,1070,Black,38.9122,-77.06715,63
1293,1145,Black,38.87014,-77.06366,49
957,1104,Black,38.90281,-77.06556,22
674,1128,Black,38.9303656389018,-77.0644359670864,69
1742,968,Black,38.82648,-77.07192,70
1326,1364,Black,38.86693,-77.05348,48
379,924,Black,38.95905,-77.07394,54
755,1002,Black,38.92251,-77.07033,48
1155,1342,Black,38.88357,-77.0545,66
727,1265,Black,38.9252627274103,-77.0581029751964,69
1012,1619,Black,38.89754,-77.04164,67
1398,1158,Black,38.859952203356,-77.0630421964699,61
1120,1313,Black,38.887,-77.05587,66
1160,1258,Black,38.88309,-77.05841,62
